Lead No,Party Name,Lead Type,Entry Date,S.C.,S. E.,Current Stage,Current Status,Next Action,Inactive Days,Last Activity
Comp - 947,SUPREME PVT. LTD.,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 949,OASIS STEELS ENTERPRISES,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 950,GENESIS ENERGY INDIA LTD.,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 715,QUANTUM METALLURGICAL INDIA LTD.,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 722,NEXUS STEEL INDUSTRIES,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 340,ORION STRIPS VENTURES PVT. LTD.,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 347,INDUS STEEL CORPORATION,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 164,GLOBAL STRIPS ENTERPRISES,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 343,SINGHANIA METALS PVT. LTD.,Not Ment.,10-10-2025,Not Assigned,Not Assigned,First call,active,First call,0,To be calculated
Comp - 852,CORE FASTENERS ENTERPRISES,Golden,10-10-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 47,SINGHANIA FASTENERS ENTERPRISES,Not Ment.,10-10-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 412,FALCON METALIKS ENTERPRISES,Not Ment.,10-10-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 895,PRIME PVT. LTD.,Not Ment.,10-10-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 413,GLOBAL MINERALS INDIA LTD.,Not Ment.,10-10-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 952,OMEGA PRODUCTS CORPORATION,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 953,DELTA LLP,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 37,OASIS ENTERPRISES,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 965,KREST METALS INDIA LTD.,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 966,CENTURY ROLLING MILLS CORPORATION,Not Ment.,10-10-2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 312,LUMINA METALS VENTURES INDIA LTD.,Not Ment.,10-10-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 313,AGARWAL ALLOYS LLP,Not Ment.,10-10-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 882,EGIS FASTENERS LTD.,Not Ment.,10-10-2025,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 979,VECTOR PROFILES CORPORATION,Normal,10-11-2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 980,SHRIRAM ENERGY GROUP ENTERPRISES,Normal,10/14/2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 982,EMINENT SPONGE IRON GROUP INDIA LTD.,Golden,10/30/2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 860,ELECTRO INDUSTRIES,Not Ment.,11-11-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 503,GLOBAL FERRO ALLOYS GROUP PVT. LTD.,Not Ment.,11-11-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 497,UNIQUE FASTENERS VENTURES INDUSTRIES,Not Ment.,11-11-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 489,BALAJI FASTENERS HOLDINGS ENTERPRISES,Not Ment.,11-11-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 549,ANCHOR STRUCTURES LTD.,Not Ment.,11-11-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 458,BANSAL CASTINGS INDIA LTD.,Not Ment.,11-11-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 459,BAJAJ FERRO ALLOYS GROUP INDUSTRIES,Not Ment.,11-11-2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 463,HERITAGE METALIKS INDIA LTD.,Not Ment.,11-11-2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 985,MEHTA ALLOYS LLP,Golden,11-11-2025,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 353,BALAJI INDIA LTD.,Golden,11/17/2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 986,PINNACLE CORPORATION,Normal,11/21/2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 86,INFINITY FASTENERS LTD.,Not Ment.,11/26/2025,Not Assigned,Not Assigned,Inquiry Followups,Inactive,No upcoming action,53,To be calculated
Comp - 373,RADIANT ALLOYS GROUP ENTERPRISES,Not Ment.,11/28/2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 989,TITAN FASTENERS INDUSTRIES,Golden,12-04-2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 706,SHRIRAM ROLLING MILLS PVT. LTD.,Not Ment.,12-08-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 991,AGARWAL WIRE ROPES ENTERPRISES,Normal,12-11-2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 481,SWASTIK INDUSTRIES,Not Ment.,12/18/2025,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 336,SUPREME LTD.,Not Ment.,12/20/2025,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 993,APEX INFRASTRUCTURE CORPORATION,Normal,12/20/2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 743,DELTA FERRO ALLOYS ENTERPRISES,Not Ment.,12/26/2025,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 182,GLOBAL SMELTERS LLP,Not Ment.,12/27/2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 996,UNITED MINERALS ENTERPRISES,Normal,12/31/2025,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 999,ZENITH CASTINGS INDIA LTD.,Normal,1/19/2026 ,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 998,EMINENT ISPAT LLP,Normal,02-02-2026,Sales Coord. 1,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 703,NATIONAL INFRASTRUCTURE VENTURES INDIA LTD.,Not Ment.,02-11-2026,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 1003,SHRIRAM ROLLING MILLS ENTERPRISES,Not Ment.,2/21/2026 ,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 555,BEACON FORGINGS VENTURES INDIA LTD.,Not Ment.,2/26/2026 ,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 1004,ELECTRO ALLOYS CORPORATION,Normal,2/27/2026 ,Sales Coord. 2,Sales Exec. 1,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 254,EMINENT METALLURGICAL VENTURES LLP,Not Ment.,03-06-2026,Sales Coord. 2,Sales Exec. 1,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 429,INDUS ROLLING MILLS LTD.,Not Ment.,03-06-2026,Sales Coord. 2,Sales Exec. 1,Proposal to order,active,"Meeting followup, Proposal to order",0,To be calculated
Comp - 257,STERLING METALLURGICAL VENTURES CORPORATION,Not Ment.,03-11-2026,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 969,SUPREME FORGINGS GROUP PVT. LTD.,Not Ment.,3/27/2026 ,Not Assigned,Not Assigned,Meeting followup,active,Meeting followup,0,To be calculated
Comp - 431,SHRIRAM SPONGE IRON LTD.,Not Ment.,3/31/2026 ,Sales Coord. 1,Sales Exec. 1,Proposal to order,active,Proposal to order,0,To be calculated
Comp - 1006,BEACON FORGINGS GROUP LLP,Not Ment.,04-02-2026,Sales Coord. 3,Sales Exec. 2,Inquiry Followups,active,"Meeting followup, Inquiry Followups",0,To be calculated
Comp - 1008,MATRIX PROFILES LLP,Not Ment.,04-04-2026,Sales Coord. 2,Sales Exec. 1,Proposal to order,active,"Meeting followup, Proposal to order",0,To be calculated
Comp - 1009,MATRIX PROFILES ENTERPRISES,Not Ment.,04-08-2026,Sales Coord. 3,Sales Exec. 1,Proposal to order,active,"Meeting followup, Proposal to order",0,To be calculated
Comp - 298,CORE INDUSTRIES,Not Ment.,04-09-2026,Sales Coord. 2,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 1010,ORION MINERALS LLP,Not Ment.,04-11-2026,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,"Meeting followup, Proposal to order",0,To be calculated
Comp - 1011,TITAN WIRE ROPES HOLDINGS PVT. LTD.,Not Ment.,4/20/2026 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 1013,GUPTA FASTENERS LTD.,Not Ment.,4/21/2026 ,Sales Coord. 1,Sales Exec. 1,Inquiry Followups,active,Inquiry Followups,0,To be calculated
Comp - 1000,ORION STRIPS PVT. LTD.,Golden,05-07-2026,Sales Coord. 1,Sales Exec. 1,First call,active,First call,0,To be calculated
Comp - 1016,PINNACLE INDUSTRIES,Not Ment.,5/13/2026 ,Sales Coord. 3,Sales Exec. 2,Proposal to order,active,"Meeting followup, Proposal to order",0,To be calculated
Comp - 1014,SHARMA ISPAT ENTERPRISES,Not Ment.,5/13/2026 ,Sales Coord. 3,Sales Exec. 2,Meeting followup,active,Meeting followup,0,To be calculated
